City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
517,Waingapu,ID,84.56,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
526,Mirzapur,IN,80.56,few clouds,25.15,82.5833,Hotel Yash Inn
531,Kavaratti,IN,83.68,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
537,Johi,PK,87.12,clear sky,26.6921,67.6133,Haji Fareed/ Abdul Qyoum Rodnani OTAQUE
538,Bowen,AU,85.42,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
541,Kluang,MY,86.07,clear sky,2.0251,103.3328,Hotel Anika
548,Auki,SB,81.82,overcast clouds,-8.7676,160.7034,Auki Motel
554,Kollam,IN,82.42,clear sky,8.8833,76.6,The Raviz Ashtamudi
556,Honiara,SB,85.03,overcast clouds,-9.4333,159.95,Heritage Park Hotel
566,Gizo,SB,84.96,light rain,-8.103,156.8419,Imagination Island
582,Axim,GH,80.06,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
585,Dhidhdhoo,MV,82.65,clear sky,6.8833,73.1,Dhidhoo beach
589,Araouane,ML,81.52,broken clouds,18.9048,-3.5265,
590,Paka,MY,85.98,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
593,Gladstone,AU,89.78,clear sky,-23.85,151.25,Highpoint International Hotel
597,Khanpur,PK,86.02,clear sky,28.6453,70.6567,Ahmad Bartan store
602,Ende,ID,83.21,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
603,Metro,ID,85.42,broken clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
605,Veraval,IN,81.72,clear sky,20.9,70.3667,Lords Inn Somnath
606,Haldibari,IN,82.11,scattered clouds,26.3333,88.7667,Rahul and Debika
607,Big Spring,US,80.24,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
611,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
612,Marawi,PH,81.19,overcast clouds,7.9986,124.2928,Derogongan Residence
616,Coolum Beach,AU,80.33,broken clouds,-26.5333,153.1,Coolum Beach Resort
620,Karwar,IN,81.46,broken clouds,14.8,74.1333,Netalco Connects
624,Paredon,MX,80.71,overcast clouds,16.0333,-93.8667,Hotel Principal Paredon
633,Rantauprapat,ID,87.03,few clouds,2.1,99.8333,Permata Land Hotel & Resort
644,Lufilufi,WS,83.79,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
653,Amuntai,ID,89.71,few clouds,-2.4177,115.2494,Hotel Balqis
660,Meulaboh,ID,83.16,few clouds,4.1363,96.1285,Kost Pria
