City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
308,Neiafu,75,TO,2022-03-28 03:39:16,89,-18.65,-173.9833,79.48,9.22
309,Ambanja,99,MG,2022-03-28 03:39:16,91,-13.6833,48.45,76.93,2.8
310,Port Hedland,96,AU,2022-03-28 03:39:16,55,-20.3167,118.5667,89.65,2.3
311,Sechelt,100,CA,2022-03-28 03:39:17,90,49.4664,-123.7694,51.51,3.8
312,Dawlatabad,0,AF,2022-03-28 03:39:17,41,36.4141,64.9053,54.57,2.55
313,San Carlos De Bariloche,40,AR,2022-03-28 03:39:18,57,-41.1456,-71.3082,47.95,12.66
314,Lahaina,12,US,2022-03-28 03:39:18,77,20.8783,-156.6825,80.6,4.92
315,Sisimiut,100,GL,2022-03-28 03:39:18,65,66.9395,-53.6735,23.0,11.34
316,Cabra,100,ES,2022-03-28 03:40:19,75,37.4725,-4.4421,53.65,4.03
317,Kosikha,100,RU,2022-03-28 03:40:19,100,53.3617,84.5822,33.13,6.96
318,Jumla,2,NP,2022-03-28 03:40:20,26,29.2747,82.1838,64.74,4.94
319,Lagoa,96,PT,2022-03-28 03:40:20,84,39.05,-27.9833,58.35,9.4
320,Gazli,57,UZ,2022-03-28 03:40:21,48,40.1333,63.45,50.83,8.68
321,Pskov,75,RU,2022-03-28 03:40:21,86,57.8136,28.3496,30.11,11.18
322,Kochevo,100,RU,2022-03-28 03:40:22,89,59.5994,54.3125,18.46,8.43
323,Verbilki,94,RU,2022-03-28 03:40:22,88,56.5333,37.6,19.26,8.16
324,Warrington,75,GB,2022-03-28 03:40:22,83,53.3925,-2.5802,52.79,4.61
325,Vanimo,100,PG,2022-03-28 03:40:23,83,-2.6741,141.3028,82.18,9.91
326,Kahului,75,US,2022-03-28 03:40:23,54,20.8947,-156.47,80.62,21.85
327,Brasilia De Minas,52,BR,2022-03-28 03:40:24,61,-16.2064,-44.4333,71.67,4.94
328,Goundam,79,ML,2022-03-28 03:40:24,11,16.4145,-3.6708,80.44,9.46
329,Adrar,6,MR,2022-03-28 03:40:25,15,20.5022,-10.0711,73.27,9.84
330,Kushmurun,99,KZ,2022-03-28 03:40:25,94,52.4503,64.6311,21.88,17.29
331,Sitka,20,US,2022-03-28 03:40:25,65,57.0531,-135.33,44.49,5.75
332,Borovoy,0,RU,2022-03-28 03:40:26,36,55.4333,86.0833,24.69,4.47
333,Hecun,25,CN,2022-03-28 03:40:26,30,36.5333,114.1111,60.48,14.12
334,Ust-Kut,100,RU,2022-03-28 03:40:27,80,56.7938,105.7672,19.92,9.6
335,Morozovsk,67,RU,2022-03-28 03:40:27,87,48.3539,41.8261,23.61,17.81
336,Alyangula,40,AU,2022-03-28 03:40:27,46,-13.8483,136.4192,93.07,6.91
337,Segovia,100,ES,2022-03-28 03:40:28,72,41.1667,-4.0,43.43,7.87
338,Sile,9,TR,2022-03-28 03:40:28,60,41.1754,29.6133,43.57,2.35
339,Jasper,0,US,2022-03-28 03:40:29,43,37.2001,-94.3502,48.54,9.22
340,Sept-Iles,75,CA,2022-03-28 03:36:06,95,50.2001,-66.3821,30.63,5.75
341,La Ronge,75,CA,2022-03-28 03:40:29,58,55.1001,-105.2842,19.65,9.22
342,Hofn,100,IS,2022-03-28 03:40:30,82,64.2539,-15.2082,32.05,6.62
343,Thinadhoo,7,MV,2022-03-28 03:40:30,64,0.5333,72.9333,81.63,5.48
344,Aykhal,99,RU,2022-03-28 03:40:30,88,66.0,111.5,10.8,8.46
345,Zruc Nad Sazavou,0,CZ,2022-03-28 03:40:31,86,49.7401,15.1061,49.1,3.0
346,Gallipoli,27,TR,2022-03-28 03:40:31,69,40.4103,26.6708,39.06,2.84
347,Port-Gentil,99,GA,2022-03-28 03:40:32,82,-0.7193,8.7815,81.43,10.87
348,Borgo San Lorenzo,73,IT,2022-03-28 03:40:32,51,43.9553,11.3835,50.99,6.49
349,Saint-Francois,9,FR,2022-03-28 03:40:32,93,46.4154,3.9054,35.04,2.3
350,Navirai,0,BR,2022-03-28 03:40:33,66,-23.065,-54.1906,65.77,2.33
351,Bengkulu,29,ID,2022-03-28 03:40:33,62,-3.8004,102.2655,84.6,7.52
352,Tahta,0,EG,2022-03-28 03:40:34,44,26.7693,31.5021,53.76,11.59
353,Cayenne,75,GF,2022-03-28 03:40:34,1,4.9333,-52.3333,80.1,8.05
354,Shache,5,CN,2022-03-28 03:40:35,18,38.4167,77.2406,59.16,8.25
355,Zhuhai,75,CN,2022-03-28 03:40:35,88,22.2769,113.5678,62.38,13.8
356,Lafiagi,57,NG,2022-03-28 03:40:36,35,8.8667,5.4167,77.36,1.34
357,Jacqueville,94,CI,2022-03-28 03:40:36,88,5.2052,-4.4146,80.53,5.08
358,Tuatapere,15,NZ,2022-03-28 03:40:36,75,-46.1333,167.6833,64.24,7.4
359,Bonfim,100,BR,2022-03-28 03:40:37,76,3.0833,-59.95,78.37,6.96
360,Pitiquito,99,MX,2022-03-28 03:40:37,13,30.7,-112.0833,73.27,5.19
361,Ilave,71,PE,2022-03-28 03:40:38,91,-16.0833,-69.6667,42.85,5.79
362,Isiro,100,CD,2022-03-28 03:40:38,86,2.7739,27.616,65.64,2.84
363,Shakawe,9,BW,2022-03-28 03:41:38,78,-18.3667,21.85,65.8,5.08
364,Vigrestad,17,NO,2022-03-28 03:41:39,93,58.5667,5.7,41.95,14.99
365,Kismayo,24,SO,2022-03-28 03:41:39,74,-0.3582,42.5454,81.81,10.2
366,Sao Felix Do Xingu,100,BR,2022-03-28 03:41:40,99,-6.6447,-51.995,72.16,0.85
367,Caucaia,75,BR,2022-03-28 03:41:40,85,-3.7361,-38.6531,78.75,4.61
368,Darnah,100,LY,2022-03-28 03:41:40,51,32.767,22.6367,57.65,12.86
369,Oranjemund,0,NA,2022-03-28 03:41:41,67,-28.55,16.4333,61.72,0.67
370,Rocha,0,UY,2022-03-28 03:41:41,61,-34.4833,-54.3333,60.22,5.14
371,Skerries,0,IE,2022-03-28 03:39:13,81,53.5828,-6.1083,46.13,2.86
